Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		Cave The 	1	1983	Off-List[2]	988	Off-List[1]	"2,705"	"10,610"	1	4
		Do I Tell?	1	1577	Off-List[2]	924	"1,417"	"5,613"	"11,778"	1	1
		Do It!	2	Off-List[1]	Off-List[7]	"1,664"	Off-List[1]	"9,406"	"12,323"	1	2
		Does He Love Me?	1	2119	Off-List[10]	"1,343"	Off-List[1]	"12,480"	"13,944"	1	4
		Get the Ball!	1	1983	Off-List[3]	"1,199"	"1,728"	"12,480"	"13,944"	1	2
		Go Jimmy Go!	1	Off-List[1]	Off-List[6]	"1,417"	Off-List[1]	"13,172"	"13,172"	1	2
		Golden Monkey The 	2	2048	Off-List[7]	"1,635"	Off-List[1]	"10,610"	"13,043"	2	3
		Good Friend A	1	2057	Off-List[6]	"1,106"	"1,977"	"9,406"	"12,446"	1	1
		Goodbye Hello!	1	1788	Off-List[1]	924	"1,708"	"12,480"	"12,480"	1	1
		Helping Hand A	1	2057	Off-List[7]	"1,378"	"1,977"	"1,733"	"10,610"	1	2
		I Always Win!	1	2057	Off-List[4]	"1,186"	"1,977"	"12,323"	"12,323"	1	2
		I Spy	1	2057	Off-List[2]	"1,395"	"1,977"	878	"1,695"	1	2
		Kung Fu  Kid	1	1788	Off-List[1]	765	"1,419"	"11,778"	"46,988"	1	12
		Let's Party!	2	1983	Off-List[9]	"1,050"	"2,129"	"12,323"	"13,944"	1	1
		Lost at Sea	1	Off-List[2]	Off-List[10]	"1,412"	Off-List[1]	"1,695"	"9,243"	1	4
		Lost Wallet The 	1	1993	Off-List[4]	"1,106"	Off-List[1]	"12,446"	"13,130"	1	5
		Love Online	2	2015	Off-List[5]	988	"1,824"	"11,778"	"12,351"	1	2
		My Mom the Movie Star	2	1931	Off-List[6]	"1,106"	"2,129"	"11,210"	"13,130"	1	2
		Mystery on the Island	1	1864	Off-List[3]	"1,193"	"1,429"	"1,935"	"10,610"	1	1
		New Guitar The 	1	Off-List[1]	Off-List[2]	"2,586"	"2,586"	"2,544"	"12,446"	3	3
		No You Can't!	1	Off-List[1]	Off-List[8]	Off-List[1]	Off-List[2]	"2,827"	"3,442"	1	33
		Old Boat New Boat	1	1864	Off-List[1]	"1,302"	"1,302"	"10,610"	"12,323"	1	1
		Old Promise The 	1	1272	Off-List[3]	783	"1,635"	"11,210"	"11,210"	1	2
		Quick Thinking	1	1904	Off-List[2]	"1,250"	"1,389"	"5,874"	"10,610"	1	1
		Quiz Night	1	1569	Off-List[3]	924	"1,932"	"5,874"	"11,210"	1	2
		Rain Rain Rain!	1	2057	Off-List[1]	"1,230"	"2,082"	573	901	1	2
		Sarah's Surprise	1	Off-List[1]	Off-List[3]	"2,386"	Off-List[1]	"12,351"	"12,351"	1	4
		Secret Tunnel The 	2	Off-List[1]	Off-List[8]	"1,412"	Off-List[2]	"5,489"	"10,610"	1	3
		Shipwreck The 	1	Off-List[4]	Off-List[14]	Off-List[1]	Off-List[3]	"5,874"	"10,610"	2	5
		Singer Wanted	1	Off-List[1]	Off-List[4]	"1,287"	"2,180"	"1,405"	"13,944"	1	2
		Sk8 for Jake	1	Off-List[2]	Off-List[7]	"1,824"	Off-List[2]	"13,947"	"20,513"	2	5
		Slam Dunk for Mark	1	Off-List[2]	Off-List[11]	"1,708"	Off-List[1]	"1,159"	"1,897"	1	2
		Think Daniela!	1	Off-List[3]	Off-List[9]	"1,789"	Off-List[2]	"1,255"	"3,242"	1	2
		Tickets The 	1	1811	Off-List[4]	"1,250"	Off-List[3]	"13,944"	"13,944"	2	33
		Trouble at Sea	1	2038	Off-List[5]	"1,302"	"1,811"	"2,492"	"10,610"	1	1
		Trouble at the Zoo	1	Off-List[4]	Off-List[9]	"2,058"	Off-List[1]	"13,944"	"13,944"	2	9
		Where's Lorena?	1	2492	Off-List[8]	"1,318"	"2,129"	"12,480"	"12,480"	1	1
		Who's Best?	1	1336	Off-List[3]	924	"1,824"	"12,991"	"12,991"	1	1
	Page Turners
		400 The	2	2156	Off-List[16]	"1,340"	Off-List[1]	"15,883"	"16,379"	3	12
		All About the Music	2	1599	Off-List[15]	"1,059"	"1,983"	"2,561"	"25,466"	1	2
		All or Nothing	2	1286	Off-List[3]	774	"1,584"	"2,890"	"11,491"	3	4
		Angels The	2	2103	Off-List[21]	"1,340"	Off-List[1]	"17,115"	"20,993"	1	3
		Art of Fear The	4	Off-List[41]	Off-List[240]	"2,237"	Off-List[46]	"5,531"	"14,721"	2	5
		Bad Blood	4	2007	Off-List[40]	"1,412"	"2,701"	"14,197"	"17,983"	3	8
		Battle for Big Tree Country	4	Off-List[44]	Off-List[267]	"2,617"	Off-List[57]	"2,492"	"5,844"	2	4
		Beautiful Game The	1	1906	Off-List[14]	"1,146"	Off-List[1]	"2,291"	"16,676"	1	3
		Best Friends	3	1788	Off-List[23]	"1,194"	"2,472"	"9,184"	"13,007"	2	8
		Bigfoot	2	2163	Off-List[14]	"1,483"	"2,719"	"1,450"	"3,368"	1	2
		Boathouse The	4	Off-List[2]	Off-List[124]	"1,678"	Off-List[1]	"2,620"	"12,103"	2	3
		Choice The	3	1558	Off-List[18]	"1,089"	"2,076"	"11,531"	"13,133"	1	2
		Come Home	1	2408	Off-List[10]	"1,257"	Off-List[1]	"11,210"	"46,396"	1	6
		Control Order 351	4	Off-List[12]	Off-List[192]	"1,965"	Off-List[16]	"9,770"	"12,480"	2	4
		Danny Dark	3	1878	Off-List[43]	"1,231"	Off-List[1]	"2,300"	"11,191"	1	2
		Dead Before Midnight	3	1920	Off-List[14]	"1,367"	"2,541"	"5,874"	"10,610"	1	2
		Deadly Truth	5	Off-List[11]	Off-List[146]	"1,937"	Off-List[6]	"3,759"	"12,351"	2	3
		Dino Nightmare	2	2190	Off-List[28]	"1,432"	Off-List[1]	"2,935"	"13,506"	1	4
		Gone	2	1877	Off-List[11]	"1,214"	"2,191"	"1,523"	"3,442"	1	2
		Hacker	1	1788	Off-List[7]	"1,160"	"2,247"	"3,155"	"11,491"	2	3
		He's Mine	1	1329	Off-List[6]	932	Off-List[2]	"1,523"	"11,758"	1	2
		Heart of a Fighter	2	Off-List[4]	Off-List[32]	"1,728"	Off-List[7]	"7,126"	"12,778"	1	4
		It's Just a Cat	1	1744	Off-List[7]	"1,106"	"2,578"	"12,229"	"13,543"	4	11
		Joe Faust	4	2478	Off-List[107]	"1,641"	Off-List[5]	"8,809"	"11,531"	2	3
		Kilimanjaro	3	2007	Off-List[42]	"1,384"	"2,692"	"2,492"	"6,735"	1	2
		Kitchen Love Story A	2	2455	Off-List[21]	"1,564"	Off-List[1]	"14,459"	"19,551"	2	12
		Lift The	2	1554	Off-List[10]	"1,165"	"2,627"	"1,355"	"3,546"	1	2
		Light	3	Off-List[1]	Off-List[57]	"1,742"	Off-List[3]	"2,492"	"19,154"	2	3
		Long Road to Lucca The	4	Off-List[18]	Off-List[152]	"2,127"	Off-List[8]	"2,654"	"10,610"	2	3
		Man from the Sky The	3	1769	Off-List[22]	"1,423"	"2,371"	"1,982"	"10,424"	1	2
		Mercy Killer	4	Off-List[2]	Off-List[79]	"1,778"	Off-List[6]	"5,436"	"13,075"	2	3
		Nature	3	1765	Off-List[10]	"1,396"	"2,415"	"2,143"	"15,173"	1	2
		New Song for Nina A	3	Off-List[1]	Off-List[79]	"1,824"	Off-List[10]	"7,781"	"15,301"	2	4
		Oscar's Journey	5	Off-List[73]	Off-List[385]	"2,386"	Off-List[76]	"7,686"	"13,338"	2	6
		Picture in the Attic The	3	1683	Off-List[10]	"1,378"	"2,654"	"1,630"	"12,916"	1	2
		Resistance	4	Off-List[2]	Off-List[69]	"1,855"	Off-List[4]	"3,252"	"10,674"	2	3
		Reunited	4	Off-List[2]	Off-List[92]	"1,683"	Off-List[1]	"12,079"	"42,974"	1	2
		Road Trip	1	1962	Off-List[8]	"1,329"	"2,285"	"14,160"	"17,115"	2	4
		Roommates	1	2115	Off-List[14]	"1,235"	Off-List[1]	"12,229"	"12,229"	11	11
		Running Free	2	1681	Off-List[14]	"1,160"	"2,023"	"11,937"	"13,358"	1	2
		Samurai	4	Off-List[9]	Off-List[136]	"1,799"	Off-List[9]	"4,115"	"34,652"	2	3
		Second Chances	2	1619	Off-List[6]	"1,198"	"2,247"	"5,874"	"11,482"	1	2
		Secret Beach The	2	2038	Off-List[17]	"1,295"	"2,654"	"2,006"	"16,301"	1	2
		Soccer Crazy	1	2082	Off-List[7]	"1,760"	Off-List[1]	"1,754"	"11,139"	2	4
		Somebody Better	1	1485	Off-List[2]	924	"2,617"	"1,557"	"13,944"	1	2
		The Stranger	5	2407	Off-List[94]	"1,664"	Off-List[2]	"2,810"	"7,640"	2	2
		Three Tales of Deadly Desire	3	Off-List[1]	Off-List[25]	"1,705"	Off-List[1]	"5,698"	"16,330"	2	4
		Trust	2	1956	Off-List[15]	"1,421"	"2,476"	"2,492"	"11,352"	2	3
		Yellow Field The	4	Off-List[3]	Off-List[80]	"1,823"	Off-List[6]	"3,410"	"24,065"	2	3
		You Just Don't Know Her	1	1336	Off-List[7]	995	"2,691"	"3,131"	"17,115"	4	11
Collins
	Amazing People
		Amazing Architects and Artists	3	2483	Off-List[73]	"1,754"	Off-List[19]	"5,454"	"14,714"	2	3
		Amazing Aviators	3	Off-List[6]	Off-List[70]	"2,167"	Off-List[17]	"6,504"	"13,149"	3	6
		Amazing Composers	3	Off-List[4]	Off-List[49]	"2,190"	Off-List[7]	"5,915"	"18,047"	3	5
		Amazing Entrepreneurs and Business People L4	4	Off-List[11]	Off-List[184]	"2,214"	Off-List[49]	"4,607"	"12,499"	3	4
		Amazing Explorers	3	Off-List[20]	Off-List[122]	"2,194"	Off-List[28]	"7,524"	"20,706"	2	4
		Amazing Inventors	2	Off-List[2]	Off-List[40]	"1,878"	Off-List[6]	"3,179"	"11,064"	2	4
		Amazing Leaders L4	4	Off-List[35]	Off-List[228]	"2,423"	Off-List[69]	"10,674"	"18,740"	3	4
		Amazing Performers L1	2	1962	Off-List[22]	"1,376"	"2,586"	"2,947"	"14,327"	2	3
		Amazing Philanthropists	3	Off-List[5]	Off-List[106]	"1,914"	Off-List[19]	"5,022"	"13,283"	2	4
		Amazing Scientists 4	4	Off-List[59]	Off-List[288]	Off-List[2]	Off-List[96]	"6,644"	"19,120"	3	5
		Amazing Scientists L3	3	Off-List[29]	Off-List[122]	Off-List[2]	Off-List[43]	"10,115"	"17,763"	3	6
		Amazing Thinkers and Humanitarians	4	Off-List[27]	Off-List[233]	"2,423"	Off-List[53]	"5,315"	"12,574"	3	3
		Amazing Women	2	2096	Off-List[26]	"1,496"	Off-List[1]	"4,777"	"13,724"	2	3
		Amazing Writers L3	3	Off-List[2]	Off-List[81]	"1,948"	Off-List[14]	"10,115"	"16,486"	2	4
		Amazing Writers L4	4	Off-List[14]	Off-List[203]	"2,122"	Off-List[46]	"7,563"	"14,893"	2	4
Compass
	Classic Readers (Compass)
		20000 Leagues under the Sea	5	Off-List[36]	Off-List[167]	Off-List[1]	Off-List[41]	"8,663"	"23,016"	3	9
		Adventures of Tom Sawyer The	4	Off-List[7]	Off-List[59]	"2,082"	Off-List[12]	"11,531"	"12,602"	2	5
		Aesop's Fables	3	Off-List[12]	Off-List[36]	Off-List[2]	Off-List[15]	"2,302"	"4,486"	2	6
		Alice in Wonderland	4	Off-List[1]	Off-List[56]	"1,874"	Off-List[4]	"2,361"	"6,324"	2	5
		Anne of Green Gables	4	2457	Off-List[75]	"1,544"	Off-List[5]	"12,960"	"16,475"	1	3
		Arabian Nights The	4	Off-List[8]	Off-List[30]	Off-List[2]	Off-List[8]	"2,694"	"8,298"	2	9
		Around the World in Eighty Days	5	Off-List[17]	Off-List[121]	"1,983"	Off-List[16]	"4,639"	"11,886"	2	4
		Black Beauty	3	Off-List[2]	Off-List[22]	"1,911"	Off-List[5]	"6,737"	"14,721"	2	4
		Christmas Carol A	5	Off-List[6]	Off-List[109]	"1,755"	Off-List[10]	"3,854"	"39,415"	2	3
		Classic American Short Stories	5	Off-List[103]	Off-List[410]	"2,596"	Off-List[55]	"3,954"	"11,210"	2	4
		Classic British  Short Stories	5	Off-List[53]	Off-List[330]	"2,400"	Off-List[81]	"3,614"	"11,758"	2	4
		David Copperfield	5	Off-List[1]	Off-List[127]	"1,708"	Off-List[15]	"11,210"	"31,559"	1	3
		Doctor Doolittle	3	Off-List[8]	Off-List[41]	"2,535"	Off-List[12]	"2,409"	"9,806"	2	5
		Dr. Jekyll and Mr. Hyde	5	1920	Off-List[28]	"1,383"	"2,669"	"11,210"	"13,661"	1	2
		Emperor's New Clothes The	3	Off-List[11]	Off-List[35]	Off-List[2]	Off-List[11]	"2,463"	"3,471"	2	5
		Favorite Asian Folk Tales	3	Off-List[6]	Off-List[27]	"2,660"	Off-List[9]	"1,875"	"3,902"	2	5
		Frankenstein	5	2447	Off-List[61]	"1,664"	Off-List[3]	"2,492"	"7,343"	2	3
		Great Expectations	5	Off-List[4]	Off-List[152]	"1,772"	Off-List[18]	"3,368"	"11,531"	2	3
		Grimm's Fairy Tales	3	Off-List[7]	Off-List[32]	"2,660"	Off-List[9]	"2,361"	"3,926"	2	4
		Happy Prince The	3	Off-List[6]	Off-List[38]	Off-List[1]	Off-List[10]	"2,681"	"13,713"	2	4
		Hound of the Baskervilles The	5	Off-List[21]	Off-List[249]	"2,194"	Off-List[51]	"4,308"	"14,487"	2	4
		Importance of Being Earnest The	5	Off-List[15]	Off-List[164]	"2,136"	Off-List[27]	"8,573"	"14,515"	2	4
		Invisible Man The	5	Off-List[40]	Off-List[259]	Off-List[1]	Off-List[67]	"3,572"	"9,406"	2	5
		Jane Eyre	5	Off-List[8]	Off-List[212]	"1,783"	Off-List[29]	"3,878"	"11,210"	2	3
		Jungle Book The	3	Off-List[5]	Off-List[26]	Off-List[1]	Off-List[8]	"2,452"	"22,784"	2	5
		Just So Stories	3	Off-List[15]	Off-List[45]	Off-List[3]	Off-List[16]	"2,492"	"5,687"	4	8
		King Solomon's Mines	5	Off-List[17]	Off-List[139]	"2,318"	Off-List[27]	"2,526"	"6,697"	2	4
		Little Women	5	2015	Off-List[46]	"1,486"	"2,795"	"9,406"	"14,252"	1	2
		Merchant of Venice The	5	2382	Off-List[31]	"1,705"	Off-List[5]	"3,417"	"22,157"	2	4
		Moby Dick	5	Off-List[89]	Off-List[340]	Off-List[6]	Off-List[116]	"4,178"	"16,486"	4	6
		Moonstone The	5	Off-List[2]	Off-List[101]	"2,023"	Off-List[15]	"7,987"	"13,003"	2	4
		More Tales of Mystery and Imagination	5	Off-List[87]	Off-List[353]	"2,398"	Off-List[66]	"3,735"	"10,612"	2	3
		Nicholas Nickleby	5	2283	Off-List[123]	"1,563"	Off-List[7]	"5,742"	"12,991"	2	3
		Oliver Twist	5	Off-List[3]	Off-List[71]	"1,714"	Off-List[10]	"12,602"	"25,901"	2	5
		Peter Pan	4	Off-List[3]	Off-List[78]	"2,160"	Off-List[6]	"5,401"	"9,406"	2	5
		Phantom of the Opera The	5	Off-List[60]	Off-List[306]	"2,592"	Off-List[54]	"3,865"	"20,049"	2	4
		Pride and Prejudice	5	2438	Off-List[126]	"1,475"	Off-List[3]	"11,210"	"13,808"	2	2
		Prisoner of Zenda The	5	Off-List[2]	Off-List[76]	"1,874"	Off-List[8]	"5,141"	"19,752"	2	4
		Railway Children The	4	Off-List[10]	Off-List[72]	"1,988"	Off-List[13]	"2,492"	"8,605"	2	4
		Robin Hood	4	Off-List[7]	Off-List[50]	Off-List[1]	Off-List[14]	"5,060"	"9,684"	6	6
		Robinson Crusoe	5	Off-List[10]	Off-List[82]	"2,194"	Off-List[12]	"2,492"	"4,360"	2	4
		Romeo and Juliet	5	Off-List[2]	Off-List[34]	"1,590"	Off-List[3]	"3,423"	"15,908"	1	2
		Secret Garden The	4	2288	Off-List[46]	"1,465"	Off-List[8]	"11,482"	"14,138"	1	4
		Sense and Sensibility	5	2031	Off-List[72]	"1,348"	Off-List[1]	"9,406"	"22,362"	1	2
		Shakespeare's Comedies	5	Off-List[3]	Off-List[77]	"2,106"	Off-List[10]	"5,081"	"19,075"	2	3
		Shakespeare's Tragedies	5	Off-List[19]	Off-List[138]	"2,415"	Off-List[36]	"4,607"	"23,813"	2	5
		Sherlock Holmes	5	Off-List[17]	Off-List[142]	"2,266"	Off-List[32]	"4,601"	"11,726"	2	4
		Tale of Two Cities A	5	Off-List[12]	Off-List[156]	"2,058"	Off-List[24]	"5,969"	"12,932"	2	6
		Tales of Mystery and Imagination	5	Off-List[44]	Off-List[187]	"2,523"	Off-List[33]	"3,595"	"11,700"	2	5
		Tess of the D'Urbevilles	5	Off-List[31]	Off-List[284]	"2,515"	Off-List[54]	"3,252"	"11,210"	2	4
		Thirty-Nine Steps The	5	Off-List[2]	Off-List[94]	"1,785"	Off-List[15]	"2,366"	"4,578"	2	3
		Three Musketeers The	5	Off-List[29]	Off-List[241]	"2,494"	Off-List[49]	"7,708"	"23,210"	3	8
		Time Machine The	5	Off-List[12]	Off-List[140]	"2,440"	Off-List[30]	"2,492"	"4,238"	2	4
		Treasure Island	5	Off-List[3]	Off-List[33]	"2,173"	Off-List[6]	"2,694"	"12,788"	2	6
		Vanity Fair	5	2448	Off-List[100]	"1,663"	Off-List[7]	"4,518"	"12,169"	1	3
		War of the Worlds The	5	Off-List[133]	Off-List[425]	Off-List[1]	Off-List[77]	"3,862"	"10,252"	2	4
		White Fang	4	Off-List[4]	Off-List[42]	"2,266"	Off-List[3]	"3,945"	"8,422"	3	8
		Wind in the Willows The	3	Off-List[1]	Off-List[26]	"2,709"	Off-List[6]	"7,058"	"7,535"	7	7
		Wizard of Oz The	4	Off-List[10]	Off-List[75]	"2,194"	Off-List[21]	"3,394"	"8,371"	4	17
		Wuthering Heights	5	Off-List[60]	Off-List[392]	"2,379"	Off-List[129]	"5,834"	"25,638"	2	5
	Sunshine Readers
		Along Comes Jake	1	2057	Off-List[1]	"2,129"	"2,129"	"13,947"	"13,947"	1	2
		At the Zoo	1	Off-List[14]	Off-List[18]	Off-List[12]	Off-List[16]	"13,947"	"21,909"	7	33
		Baby-Sitters The	1	Off-List[6]	Off-List[9]	Off-List[5]	Off-List[8]	"5,887"	"13,543"	7	8
		Bag of Smiles The	2	2455	Off-List[2]	"2,337"	Off-List[2]	"1,112"	"1,599"	1	1
		Bear on the Mountain The	2	Off-List[6]	Off-List[9]	Off-List[2]	Off-List[4]	"1,800"	"1,912"	4	9
		Boggywooga	2	Off-List[6]	Off-List[15]	Off-List[1]	Off-List[5]	"11,210"	"68,244"	2	Off-List[1]
		Brutus	2	2189	Off-List[3]	"2,111"	Off-List[1]	"2,562"	"21,095"	2	2
		Cat and Bird	1	Off-List[1]	Off-List[5]	"2,191"	Off-List[2]	980	"1,746"	2	5
		Come for a Swim!	1	Off-List[3]	Off-List[6]	"2,129"	Off-List[3]	980	"1,722"	2	2
		Cooking Pot The	1	Off-List[3]	Off-List[4]	"2,547"	Off-List[1]	"9,406"	"9,406"	1	2
		Cow in the Hole The	2	Off-List[3]	Off-List[9]	Off-List[2]	Off-List[7]	"2,497"	"5,185"	5	10
		Dinner Time	1	Off-List[7]	Off-List[11]	Off-List[1]	Off-List[3]	"1,976"	"1,976"	4	11
		Don't you Laugh at Me!	2	1329	1329	"1,269"	"1,676"	"1,112"	"3,240"	4	9
		Dr. Sprocket Makes a Rocket	2	Off-List[8]	Off-List[14]	Off-List[6]	Off-List[10]	"11,758"	"68,285"	8	16
		Dragon The	1	Off-List[8]	Off-List[13]	Off-List[6]	Off-List[11]	"2,400"	0[1]	11	Off-List[1]
		Elephant Walk	1	Off-List[3]	Off-List[7]	Off-List[2]	Off-List[5]	"2,564"	"5,754"	8	11
		Footprints on the Moon	2	Off-List[4]	Off-List[7]	Off-List[2]	Off-List[3]	"2,400"	"2,400"	33	33
		Goodbye Lucy	1	Off-List[2]	Off-List[2]	Off-List[2]	Off-List[2]	"1,228"	0[1]	4	Off-List[1]
		Grandpa's New Car	2	Off-List[4]	Off-List[6]	Off-List[1]	Off-List[3]	"3,067"	"3,067"	5	5
		Ha-Ha Powder The	2	Off-List[13]	Off-List[23]	Off-List[4]	Off-List[10]	"2,945"	0[1]	3	5
		Hundred Hugs A	2	Off-List[4]	Off-List[10]	Off-List[1]	Off-List[6]	"1,299"	"5,301"	4	12
		I Spy	2	Off-List[1]	Off-List[4]	Off-List[1]	Off-List[2]	"2,156"	"2,492"	4	4
		Jack and the Giant!	1	Off-List[7]	Off-List[13]	Off-List[2]	Off-List[8]	"1,941"	"4,111"	2	6
		Juggler The	1	Off-List[1]	Off-List[2]	Off-List[1]	Off-List[1]	"7,776"	"11,033"	6	9
		Just This Once	2	Off-List[3]	Off-List[7]	Off-List[2]	Off-List[4]	"8,785"	"14,357"	11	11
		Letters for Mr. James	2	2296	Off-List[1]	"1,641"	Off-List[1]	"11,210"	"11,210"	1	2
		Magic Machine The	1	Off-List[5]	Off-List[10]	Off-List[3]	Off-List[6]	"1,917"	"2,145"	2	4
		Magic Tree The	2	Off-List[2]	Off-List[4]	"2,589"	Off-List[1]	"1,218"	"3,233"	6	7
		Mishi-na	2	Off-List[5]	Off-List[10]	Off-List[3]	Off-List[5]	0[1]	0[1]	5	6
		Mom's Birthday	2	Off-List[3]	Off-List[9]	Off-List[2]	Off-List[5]	"2,470"	"14,176"	5	33
		Mom's Diet	2	Off-List[7]	Off-List[13]	Off-List[6]	Off-List[11]	"1,688"	"7,523"	6	7
		Moon Story	1	Off-List[3]	Off-List[6]	"2,596"	Off-List[1]	980	"1,240"	2	2
		Mr. Grump	1	Off-List[4]	Off-List[7]	Off-List[3]	Off-List[4]	"16,818"	"16,818"	10	33
		Mr. Whisper	2	Off-List[2]	Off-List[5]	"2,592"	Off-List[2]	"11,210"	"39,257"	6	Off-List[1]
		Mrs. Grindy's Shoes	2	Off-List[1]	Off-List[4]	Off-List[1]	Off-List[2]	"9,406"	"9,406"	2	33
		My Sloppy Tiger	2	Off-List[8]	Off-List[15]	Off-List[4]	Off-List[8]	"2,845"	"4,931"	4	6
		New Bed A	2	Off-List[2]	Off-List[5]	Off-List[1]	Off-List[3]	"15,816"	"15,816"	2	5
		Night	1	Off-List[2]	Off-List[5]	"2,596"	Off-List[3]	"1,897"	"2,145"	2	4
		Nowhere and Nothing	1	1487	Off-List[1]	"2,129"	"2,635"	"1,225"	"1,757"	1	2
		One thousand Muffins	2	Off-List[6]	Off-List[11]	Off-List[2]	Off-List[7]	"6,369"	"11,210"	9	9
		Pirate The	2	Off-List[8]	Off-List[13]	Off-List[6]	Off-List[11]	"3,067"	"36,360"	5	11
		Poor Sore Paw The	2	Off-List[8]	Off-List[10]	Off-List[5]	Off-List[7]	0[1]	0[2]	12	12
		Quack Quack Quack!	2	Off-List[2]	Off-List[6]	Off-List[1]	Off-List[2]	"4,624"	"4,624"	9	9
		Ratty-Tatty	2	Off-List[1]	Off-List[3]	"2,182"	Off-List[1]	"41,629"	"41,629"	14	14
		Sausage The	1	Off-List[9]	Off-List[14]	Off-List[6]	Off-List[11]	"1,917"	"8,785"	5	10
		Secret of Spooky House The	2	Off-List[13]	Off-List[24]	Off-List[6]	Off-List[17]	"9,406"	"11,210"	7	33
		Seed The	1	Off-List[3]	Off-List[4]	"1,813"	Off-List[1]	"14,329"	"20,242"	2	5
		Space Race	2	Off-List[1]	Off-List[6]	Off-List[1]	Off-List[4]	"2,798"	"2,938"	3	7
		Spider Spider	1	1262	1262	"1,597"	"1,597"	"7,082"	"59,362"	11	17
		Tess and Paddy	2	Off-List[4]	Off-List[10]	Off-List[2]	Off-List[6]	"45,184"	"45,184"	10	10
		Tornado	2	Off-List[7]	Off-List[15]	Off-List[4]	Off-List[7]	"5,615"	"5,932"	7	10
		Traveler and the Farmer The	2	Off-List[8]	Off-List[16]	Off-List[3]	Off-List[8]	"2,159"	"2,302"	2	2
		Wake up Mom!	1	Off-List[5]	Off-List[7]	Off-List[1]	Off-List[1]	"65,993"	"65,993"	20	20
		Watching TV	1	Off-List[6]	Off-List[9]	Off-List[3]	Off-List[6]	"2,681"	"4,937"	7	Off-List[1]
		Whale The	2	Off-List[5]	Off-List[9]	Off-List[3]	Off-List[5]	"2,380"	"4,297"	4	5
		When Dad went to Playschool	2	Off-List[3]	Off-List[9]	Off-List[1]	Off-List[4]	"1,072"	"4,563"	2	33
		When the Balloon Went Pop!	2	Off-List[3]	Off-List[6]	"2,225"	Off-List[1]	"1,217"	"9,406"	2	4
		Where Are You Going Mya Rose?	1	1382	1904	"1,147"	"1,322"	666	666	1	1
		Where is My Hat?	1	Off-List[5]	Off-List[9]	Off-List[4]	Off-List[8]	"2,100"	"2,380"	6	7
	Young Learners Classic Readers
		Barber of Seville The	3	Off-List[1]	Off-List[27]	"1,586"	Off-List[4]	"2,481"	"28,349"	1	2
		Battle of Red Cliff	3	1864	Off-List[9]	"1,359"	"2,614"	"14,557"	"19,270"	2	5
		Beauty and the Beast	2	Off-List[4]	Off-List[23]	Off-List[1]	Off-List[8]	"2,159"	"6,386"	4	4
		Bellerophon & Pegasus	2	Off-List[3]	Off-List[12]	"2,226"	Off-List[3]	"1,460"	"38,209"	2	12
		Brave Tin Soldier The	2	Off-List[5]	Off-List[11]	Off-List[2]	Off-List[4]	"2,856"	"3,197"	2	3
		Cinderella	2	Off-List[2]	Off-List[8]	"2,213"	Off-List[1]	"1,102"	"2,248"	1	3
		Count of Monte Cristo The	3	Off-List[1]	Off-List[22]	"1,832"	Off-List[4]	"2,381"	"14,527"	2	3
		Daedalus and Icarus	2	Off-List[1]	Off-List[9]	"2,007"	Off-List[3]	"2,492"	"24,032"	2	4
		Diamonds and Toads	2	Off-List[2]	Off-List[11]	"2,031"	Off-List[5]	"1,626"	"2,617"	2	4
		Dog of Flanders A	3	Off-List[4]	Off-List[21]	"2,460"	Off-List[7]	"2,391"	"11,210"	2	2
		Elves & the Shoemaker The	2	2311	Off-List[1]	"2,730"	Off-List[1]	"1,715"	"5,825"	3	33
		Enchanted Castle The	2	Off-List[4]	Off-List[18]	"2,614"	Off-List[3]	"2,803"	"13,172"	2	2
		Fairy Gifts	2	Off-List[1]	Off-List[8]	"2,374"	Off-List[3]	"4,180"	"16,316"	2	4
		Fir Tree The	2	1777	Off-List[3]	"1,419"	Off-List[1]	"3,438"	"13,607"	5	8
		Fish and the Ring The	2	Off-List[2]	Off-List[16]	"1,451"	Off-List[2]	"2,690"	"14,413"	2	5
		Gift of the Magi The	3	2371	Off-List[15]	"1,708"	Off-List[2]	"11,548"	"12,909"	2	2
		Gulliver's Travels	2	1920	Off-List[8]	"1,664"	"2,707"	"1,361"	"2,366"	1	2
		Hans Brinker	2	Off-List[1]	Off-List[9]	"2,113"	Off-List[1]	"8,605"	"13,713"	2	5
		Hansel and Gretel	2	Off-List[1]	Off-List[6]	"2,260"	Off-List[2]	"1,471"	"2,467"	1	5
		Heidi	2	Off-List[3]	Off-List[17]	"2,680"	Off-List[2]	"1,717"	"3,813"	1	4
		Hollow Needle The	3	Off-List[4]	Off-List[40]	"2,669"	Off-List[11]	"4,899"	"25,636"	2	6
		How Bear Lost His Tail	2	Off-List[2]	Off-List[8]	"1,948"	"2,537"	"1,068"	"1,068"	2	2
		How Red Bird Got His Color	2	2252	Off-List[2]	"1,911"	Off-List[1]	"1,935"	"8,848"	2	12
		Hunchback of Notre Dame The	3	Off-List[8]	Off-List[36]	"2,614"	Off-List[10]	"24,234"	"26,816"	3	12
